,text,likes,timestamp,Language,sentiment,overall_sentiment
18,unflinche confidence indian government break back bone narcotic business manipur political militant foreign player alternate afghanistan face heat manipur grow economically,2781,08-08-2023,en,0.5106,positive
19,meitei hindu start attack muslims muslim help christian kukis attack hindus muslim face attack armed hindus support police government hindu kill christians,172,08-08-2023,en,-0.8625,negative
20,july india demand pm loksabha make statement manipur india make break arrogance modi confidence motion move today start discussion loksabha,157,08-08-2023,en,-0.1531,negative
22,father improve day day progress slow damage extensive joseph valte son mla vungzagin valte brutally attack mob imphal report thequintcomnewsindiadisa,3,08-09-2023,en,-0.6808,negative
23,spread violence manipur haryana spew venom assam guise vishva hindu parishad apcc president,13,08-08-2023,en,-0.6249,negative
24,bjp mp manipur allow speak parliament today congress mp gaurav gogoi,2041,08-08-2023,en,0.2263,neutral
25,meetei roam freely hand hand manipur police removal ar moirang bishnupur,7,08-08-2023,en,0.8519,positive
26,incredibly distressing debut parliament session regard concern pm modi bjp manipur pm parrot beti bachao rajya sabha single day speak issue despite notice issue,2134,08-08-2023,en,-0.4576,negative
27,minor worried father dehraduni singer files complaint prashant bhushan spread fake news amid manipur unrest talk opindia opindiacom 202308fatherd,2430,08-08-2023,en,-0.7579,negative
29,long thread simple sit ac cabin give gyan tackle knowledge ground reality undisclosed story avert fresh flareup vi0ence,3472,08-07-2023,en,0.1531,neutral
30,instigator antichristian persecution cry wolf distract guilt root violence seek profit depict religious term washingtonexaminercomopini,7,08-08-2023,en,-0.8225,negative
31,manipur incident trs government u answer rule alcohol orphan girl home work stop monster rip dress naked min road jawahar nagar hyderabad,691,08-08-2023,en,-0.296,negative
32,former asp manipur thounojambbrinda make detailed sensational allegation affidavit manipur cm biren singh involve drug cartel manipur watch interview karan thapar pipedvideok 0rzn3dq51w,2736,08-07-2023,en,0.0,neutral
33,wow accountability roam freely openly arm loot state valley valley armory leave loot manipur guess loot,538,08-08-2023,en,0.7579,positive
34,law order manipur valley,51,08-08-2023,af,0.0,neutral
35,manipur state force tribals bullet kuki militant caption meitei whatsapp status pose ammunition belt full automatic weapon ammunition state sponsor terrorism manipur state force,154,08-08-2023,en,-0.7783,negative
36,dr manmohan singh year ail parliament wheelchair duty nation vote delhi service bill year current pm fit fine parliament debate manipur,5727,08-07-2023,en,0.5106,positive
37,sooo naked parade woman manipur know hide sponsor riot bjprss amit shah instruct police rioter loot arm,107,08-08-2023,en,-0.6486,negative
38,congress mp direct attack modi govt pm manipur despite violence happen manipur month pm day make statement manipur bjp sack fail cm manipur,200,08-08-2023,en,-0.5116,negative
39,meitei civilian continuously gift sophisticated arm state armory govtof manipur sophisticated arm deploy continuously carry ethnic cleansing campaign law order death manipur,156,08-08-2023,en,0.7351,positive
40,government india rejoice burn chingphei kuki village pray president rule withdrawal equal protection law manipur police commando shout top voice free hand read wipe,117,08-08-2023,en,0.9118,positive
41,opposition bloc india force bring noconfidence motion government break prime minister narendra modis vow silence manipur government talk india create manipur live hill,10,08-09-2023,en,0.2732,neutral
42,minor worried father dehraduni singer files complaint prashant bhushan spread fake news amid manipur unrest talk opindia opindiacom 202308fatherd,2041,08-08-2023,en,-0.7579,negative
43,𝗥𝗘𝗦𝗧𝗢𝗥𝗘 𝗔𝗙𝗦𝗣𝗔 indian army treat jawan indian army push state force unlike state force they re work day night selflessly bring back normalcy manipur work hard,419,08-08-2023,en,0.3182,neutral
45,congress insult north east neglected region result formation large number militant organization present problem manipur result long congress misrule,288,08-08-2023,en,-0.8442,negative
46,video expose manipur police commando meitei arm group sinister design pitch muslims kukizo masjid bunker kwata bisnupur district,451,08-08-2023,en,-0.6705,negative
48,cm biren singh drug mafia woman slap meitei radical portray community kukizo narco terrorists infact courageously expose biren wife involvement drug cartel patron drug mafia,727,08-07-2023,en,-0.2023,negative
49,bjp dangayi party jante satta danga karwati manipur hariyana men karwati,0,08-09-2023,id,0.4019,positive
50,bizarre situation unit implicate manipur police,4,08-09-2023,ro,-0.3182,negative
51,congress deputy leader lok sabha mr lead debate india alliance side,2800,08-08-2023,en,0.0,neutral
52,today sea punjab protest violence,5479,08-06-2023,en,-0.7269,negative
53,talk india make manipur gaurav gogoi,547,08-08-2023,sl,0.0,neutral
54,actual truth kuki zo terrorist kill civilian midnight sleep day terrorist group attack muslim village footage show manipur police commando perform task protect civilian,0,08-09-2023,en,-0.936,negative
55,jese chamanchaap anchor manipur pr mahine chup bethe dallali saboot mange ga,1,08-09-2023,en,0.0,neutral
56,open question medium housesjournalist cover manipur conflict,365,08-08-2023,fr,-0.3182,negative
57,manipur bjp demand replace assam rifle nonbjp bjpain declare antinational chinese agent jihadi,17,08-08-2023,en,-0.128,negative
58,sangrur mp speak parliament today confidence motion modi govt refer violence civilian manipur especially christian minority talk violence muslims nue violence sikh world,92,08-08-2023,en,-0.875,negative
59,happen epi center manipur conflict churchandpur ethnic cleansing meitie,1,08-08-2023,en,-0.3182,negative
60,cartoonish christian vs hindu narrative resolve manipur tragedy unfortunately christian group idea manipur violence antichristian issue face value critical analysis washingtonexaminercomopini,10,08-09-2023,en,-0.8481,negative
61,ncp lok sabha mp supriya sule loksabha big achievement bjp lead central government year topple different state government karnataka madhya pradesh arunachal pradesh uttarakhand manipur meghalaya goa puducherry maharashtra,1528,08-08-2023,en,0.0,neutral
63,question pm modi pm modi visit manipur till date pm modi day speak manipur pm modi sack cm manipur till date congress mp,291,08-08-2023,it,0.0,neutral
64,file personnel 9th asam rifle battalion prevent manipur police conduct search operation nab kuki militants ar team deliberately park casper vehicle middle road block movement manipur,560,08-08-2023,en,-0.4215,negative
65,manipur state force accept fact incompetent ashamed instead,0,08-09-2023,en,-0.5574,negative
66,plot continue murky bizarre incident local police file assam rifle local unit write centre demand removal ar accuse partisanship hubris bad,1,08-09-2023,ro,-0.7964,negative
67,hero wear cape manipur policeman carry meitei pangal safety shot kwakta town bishnupur turn warzone relentless attack kuki militant salute brave,133,08-08-2023,en,0.7845,positive
68,1st arm ammunition lootedhande imphal valley 2nd assam rifle remove strategic buffer zone 3rd hard deduce what s come india silence result annihilation minority manipur speak india,301,08-08-2023,en,-0.1027,negative
69,grand welcome bjp leader manipur,144,08-06-2023,en,0.7184,positive
70,undeniable proof come directly respected pm modi amit shah mouth kukizos illegal immigrant citizen india inauguration foundation stone lay development project manipur pm modi,21,08-09-2023,en,-0.128,negative
71,trauma hindus muslims time christians adivasis dalit traumatise killing matter,0,08-08-2023,et,-0.8979,negative
72,meiteis militant manipur stage force easily attack kuki zo village video prove manipur stage force meiteis militant join hand walk open road automatic gun kuki zo community,7,08-08-2023,en,0.3182,neutral
73,modi cheat wife cheat political guru advani cheat farmer cheat youth cheat vote cheat manipur short cheater deserve prime minister,481,08-08-2023,en,-0.9661,negative
75,expose speak bless particular community speak religious place bunker wholly wrong fact meiteis respect holy place mayhem lead question securitysafety live,271,08-08-2023,en,0.296,neutral
76,meiteicentric manipur government attempt silence dissent free speech block internet day consistently target twitter account speak include itlfs account strengthen resolve,202,08-08-2023,en,0.6486,positive
77,protest parliament delhi save manipur,0,08-09-2023,ca,0.296,neutral
78,kuki burn government office house meitei community chase away villager escape life violence break claim victim demand separation break manipur acceptable solution,11,08-08-2023,en,-0.34,negative
79,watch kuki christian insurgent admit army crpf give full protection thank army crpf give protection bcoz hindus wrong evil,356,08-08-2023,en,-0.6369,negative
80,distance rajsthan aprx km manipur messiah women right visit obvious reason hey fraud ticket karwa du,574,08-08-2023,en,-0.5859,negative
81,indias war drug manipur crisis golden crescent golden triangle pipedvideolivehsulpgjkhyg,0,08-09-2023,en,-0.8402,negative
82,bjp mps north east deny situation manipur congress deputy leader loksabha ji foul mouthed nishikant dubey allow mp north east speak,1896,08-08-2023,en,-0.128,negative
83,hindu culture destroy convert christian medium show full story day lehru maitai hindu constant attackrbc kuki,258,08-08-2023,en,-0.5423,negative
84,congress insult north east neglected region result formation large number militant organization present problem manipur result long congress misrule,289,08-08-2023,en,-0.8442,negative
85,meitei armed group forcefully turn masjid kwakta manipur fortify bunker police commando draw gunfight village pangal muslims muslim family leave village compound house yahya khan,196,08-08-2023,en,-0.0516,negative
86,pm maun vrat speak parliament bring confidence motion break silence answer visit manipur date day finally speak manipur speak,516,08-08-2023,en,0.5106,positive
87,move noconfidence motion speak manipur issue parliament congress bjp manipur mp talk situation state show bjp ignore manipur congress mp,297,08-08-2023,en,-0.3612,negative
88,vice president india rajya sabha chairman bjp leader manipur issue discuss parliament vp country upset word manipur floor,2977,08-08-2023,en,-0.3818,negative
90,bjp mp nishikant dubey respond congress gaurav gogoi manipur issue congress history northeast preach manipur watch pipedvideorho 10ybv0ju,187,08-08-2023,en,0.0,neutral
91,cocomimeira paibisanything justifiedeven rape long community causeloote gun patrioticcan kukizo tribes condone cost live sake manipur integrity,36,08-08-2023,en,-0.6705,negative
92,bring truth indian what s happen manipur atrocity chin kuki mizo community agree understand selfish communal mindset raze war,61,08-08-2023,en,-0.4939,negative
93,today situation woman justify rape woman man rape woman manipur nation manipur witness kind ethnic cleansingthe centre complicit state partisan security force,212,08-08-2023,en,-0.6808,negative
94,manipur mp talk give real insight ohh suppose talk truth suppress info policy,0,08-09-2023,en,0.3182,neutral
95,meitei hindu start attack muslims muslim help christian kukis attack hindus muslim face attack armed hindus support police government hindu kill christians,173,08-08-2023,en,-0.8625,negative
96,bet single person raise voice manipur speak,73,08-08-2023,fr,0.0,neutral
97,father improve day day progress slow damage extensive joseph valte son mla vungzagin valte brutally attack mob imphal report thequintcomnewsindiadisa,4,08-09-2023,en,-0.6808,negative
98,side manipur meitei mobs loot sophisticated weapon brandish openly full public view fear law hand operation carry kukizo hill defend country make gun save,137,08-08-2023,en,0.4939,positive
99,india party walk rajya sabha today rest day continued refusal modi government immediate discussion manipur basis mutually negotiate motion continue refusal leader,3348,08-08-2023,en,0.4019,positive
100,bulldoze tribal manipur doubt ethnic cleansing tribal colony forcefully illegally evict destroy house include church perceivable he s plan civil war tribal,278,08-08-2023,en,-0.872,negative
101,manipur,0,08-09-2023,id,0.0,neutral
102,chapter assam riffle wide poppy cultivation find assam riffle camp manipur find reason relationship,89,08-08-2023,en,0.0,neutral
103,bjp mp manipur allow speak parliament today congress mp gaurav gogoi,2042,08-08-2023,en,0.2263,neutral
105,school child displace due ongoing situation manipur cause ethnic violence education ministry,138,08-02-2023,en,-0.6249,negative
106,manipur police file ar,2,08-08-2023,ro,0.0,neutral
107,official version state government manipur record shade,274,08-08-2023,en,0.0,neutral
108,manipur violence hinduchristian conflict tribal perspective deeply devote christian religious conflict harbour antihindu feeling meitei community actively,202,08-08-2023,en,-0.4951,negative
109,மறவடம தமழகம அனவரம படததவரகளகவம மறறவத இலகக trend movie tv season manipur facebookcom,0,08-09-2023,ta,0.0,neutral
110,quote govt judge parameter national security economy communal harmony institutional autonomy foreign policy modiji fail account northeast sensitive place manipur share international border manisht,0,08-09-2023,en,0.4215,positive
111,orgs block ban spread poisonous disinformation tribal area lack education make vulnerable manipulation fear world past hutus tutsis rwanda lie propaganda fuel genocide,240,08-02-2023,en,-0.9628,negative
112,aapko manipur,0,08-09-2023,tl,0.0,neutral
113,terrorist elephant question man kuki defend village land protect meetei carry sophisticated weapon broad daylight attack village defender manipur government kuki,434,08-08-2023,en,-0.5267,negative
114,,0,08-09-2023,,0.0,neutral
115,unflinche confidence indian government break back bone narcotic business manipur political militant foreign player alternate afghanistan face heat manipur grow economically,2782,08-08-2023,en,0.5106,positive
116,india pm modi silent manipur,8,08-08-2023,it,0.0,neutral
117,math complicated mortal comprehend,64,08-08-2023,en,0.0,neutral
118,maintain silence kuki woman narrative hurt india globally kuki tribe christian tribe migrate burma intruder country start violence fall propoganda start abuse modi,157,08-08-2023,en,-0.9136,negative
119,month air relief dire juncture dishearten shocking institute national importance nit manipur carelessly urge student report offline class campus,28,08-08-2023,en,-0.6808,negative
120,reason tribal hill area comprise percent land manipur pocket habitable human fit extensive economic activity pic elevation map manipur,134,13-07-2023,en,0.3612,positive
121,manipur fly zone prime minister plane compulsion modi shah retain chief minister despite failure,21,08-08-2023,fr,0.4023,positive
122,watch press conference elaborate extensively cong betray north east particularly reference current situation manipur,796,08-08-2023,en,-0.6369,negative
123,punjab school remain closed tomorrow august due bandh call dalit christian community protest ethnic violence atrocity woman manipur news 18comopinionproselyti,1,08-09-2023,en,-0.7269,negative
124,meitei lie debunk ground zero report today video speak,36,08-08-2023,nl,0.0,neutral
125,assam rifle honey trap chin kuki zo terorrist lot henceforth remove assam rifle entire state manipur replace center force lakh civilians people trust assam rifle history manipur,31,08-07-2023,en,0.25,neutral
126,bother manipur instigate violence jnu cry manipur violence violence involve punish punish side wrong fine fool,0,08-09-2023,en,-0.9831,negative
127,saal konsi file bachi hogikoi bacha nh logo seab sirf misguide gumrah usase logo manipur jan gawa lena dena nh hab vaha bjp sarkar h sudhar jao sirji,0,08-09-2023,id,0.7506,positive
128,chief minister fight drug part drug cartel thounaojam brinda former asp manipur truth prevail,0,08-09-2023,en,-0.0772,negative
129,manipur cm patron drug mafia shocking expose former asp manipur police,1090,08-05-2023,en,-0.5106,negative
130,মরকরণর রজনতই দয মণপর আজ দবখণডত অনসথ পরসতব নশনয মদ বগত তন মসরও বশ সময ধর হসর আগন জবলছ মণপর bengaliabplivecomnewscon,25,08-08-2023,bn,0.0,neutral
131,congress deputy leader lok sabha mr lead debate india alliance side,2803,08-08-2023,en,0.0,neutral
132,kukichinzo r widely distribute india separatist tendency thm r xtians muslims army grade weapon train combatant exodus hindu tribe manipur kukis win church mahamanav modi ji,0,08-09-2023,en,0.3818,positive
133,confidence motion debate manipur awareness level average journalist,2355,08-08-2023,fr,0.5106,positive
134,video assault bjp leader great noida viral social medium false claim thrash remark manipur violence truth attack local land dispute watch,1256,08-08-2023,en,-0.8074,negative
135,image manipur civilised loot kukis property image gurugram civilised loot muslim property,338,08-08-2023,en,0.0,neutral
136,daily yog class narankonjin mayai leikai imphal west manipur,0,08-09-2023,tl,0.0,neutral
137,fake nationalism frame minority antinational happen muslimswith kukis truth arambam samarendra meitei launch unlf manipur nov founder president kalalung kamei naga thankhopao singsit kuki,103,08-08-2023,id,-0.2023,negative
138,indigenous 700sqkm manipur starting feel blissful touristy cruelty greediness hide long manipulative game lie baseline normalcy loot attack feeble section,159,08-08-2023,en,-0.8271,negative
139,𝘾𝙤𝙣𝙩𝙞𝙣𝙪𝙚 𝙩𝙤 𝙗𝙚 𝙁𝙖𝙞𝙧 𝙩𝙤 𝙖𝙡𝙡 𝙁𝙚𝙖𝙧 𝙉𝙤𝙣𝙚 message rank deploy restore peace normalcy,822,08-08-2023,en,0.6908,positive
140,video move motion noconfidence motion speak manipur issue parliament congress bjp manipur mp talk situation state parliament show bjp ignore,787,08-08-2023,en,-0.3612,negative
142,milords manipur violence manufacture internally r naturally exist difference r external nation instigate violence interpretation constitution external agent give birth violence deccanheraldcomopinionedi,2,08-09-2023,en,-0.9231,negative
143,expect rahul gandhi table modi government bjp guard assam mp speak manipur crisis editorjicomindianewsnot,0,08-09-2023,en,-0.6249,negative
144,outcry call feminist contractor feminism matter relate manipur bjp rule state govt strict action culprit heinous inhumanity cruelty,138,08-08-2023,en,-0.7964,negative
145,heartless government opposition slam centre manipur parliament ndtvcomindianewsheartle,32,08-09-2023,en,-0.7003,negative
146,gaurav gogoi pose question pm modi inaction manipur sansad tv begin list government scheme sector success ticker read india ayurvedic herbal medicine export newslaundrycom 8n,710,08-08-2023,en,0.4019,positive
147,prashant bhushan catch spread fake news amid manipur unrest call dehraduni singer father manipuri kuki meiti detail opindiacom 202308prashant,345,08-08-2023,en,-0.4767,negative
148,minor worried father dehraduni singer files complaint prashant bhushan spread fake news amid manipur unrest talk opindia opindiacom 202308fatherd,2046,08-08-2023,en,-0.7579,negative
149,vice president india rajya sabha chairman bjp leader manipur issue discuss parliament vp country upset word manipur floor,2978,08-08-2023,en,-0.3818,negative
150,video emerge social medium show indian police cdo masjid muslim sacred place kwakta bunker manipur india,83,08-08-2023,en,0.0,neutral
151,total chaos deliberately mislead lie reign official version government submit supreme court case rape case murder register july official statement remind gujarat,243,08-08-2023,en,-0.8885,negative
152,mobocracy manipur meitei militia roam freely street rule law tatter central force mercy complicity manipur state government big threat,61,08-08-2023,en,0.25,neutral
153,bjp mps north east deny situation manipur congress deputy leader loksabha ji foul mouthed nishikant dubey allow mp north east speak,1897,08-08-2023,en,-0.128,negative
154,stop pm speak,0,08-09-2023,sl,-0.296,negative
155,army leadership stand force command manipur police register assam rifle block vehicle obstruct discharge duty altercation force week indiatodayneinmanipurstor,178,08-08-2023,en,-0.4404,negative
156,kuki propaganda illegal immigrant begin lie continuously change goalpost tv discussionshameless creature,105,08-08-2023,en,-0.6808,negative
157,assam rifle presently,63,30-07-2023,en,0.0,neutral
158,roar august mr lok sabha,758,08-08-2023,et,0.0,neutral
159,question pm modi pm modi visit manipur till date pm modi day speak manipur pm modi sack cm manipur till date congress mp,292,08-08-2023,it,0.0,neutral
160,modus operandi kashmir repeat manipur jk police arrest armed force stop movement cordon operation terrorist safe passage meantime,1,08-09-2023,en,-0.6705,negative
162,meiteicentric manipur government attempt silence dissent free speech block internet day consistently target twitter account speak include itlfs account strengthen resolve,203,08-08-2023,en,0.6486,positive
163,peace care agendas crime boss head state remind pablo escobar medellin stay burn,157,08-08-2023,en,0.4939,positive
164,today meitei woman hold peaceful sit protest demand removal assam rifle manipur,59,08-07-2023,en,0.1779,neutral
165,narayana agree incapable rectify situation manipur,0,08-09-2023,en,-0.0258,neutral
166,congress discussion manipur trigger rajasthans law order forum discuss rajasthan binod ghumaya,7431,08-04-2023,en,0.0,neutral
167,head manipur assam rifle withdraw critical checkpoint bishnupur pipedvideomei 3pbccbcw,217,08-08-2023,en,-0.3182,negative
168,chairperson delhi commission women ms swati maliwal serve advisor cm delhi public grievances indian activist gut speak fellow indian kukizo woman manipur large,1047,08-07-2023,en,-0.3612,negative
169,𝘾𝙤𝙣𝙩𝙞𝙣𝙪𝙚 𝙩𝙤 𝙗𝙚 𝙁𝙖𝙞𝙧 𝙩𝙤 𝙖𝙡𝙡 𝙁𝙚𝙖𝙧 𝙉𝙤𝙣𝙚 message rank deploy restore peace normalcy,823,08-08-2023,en,0.6908,positive
170,watch youth congress worker hold sansad gherao protest delhi manipur issue,237,08-08-2023,en,-0.25,negative
171,extremely charge indeed shield kuki militant block manipur police job warrant fullfledge investigation court martial assam rifle answer chinkuki,170,08-08-2023,en,-0.4404,negative
172,case relate incident occur august personnel allegedly block manipur police team keep parking casper vehicle middle pholang road,43,08-08-2023,en,-0.4404,negative
173,chest know modi nehru rule manipur gidhrakand happen haryana,0,08-09-2023,en,0.0,neutral
174,thousand queue peace prevail swine t,20,08-08-2023,fr,0.5423,positive
175,different level corrupt war strategy expose maktoob medium manipur police commando misusing mosque kwakta bunker midst crossfire local happy,311,08-08-2023,en,-0.2023,negative
176,dangerous kuki hypocrites kuki nowadays former cop candidate social activist hell bent replace cm manipur work itlf,110,08-08-2023,en,-0.8271,negative
177,assam rifle manipur bjp state unit demand pm india hindi news मणपर स हट द असम रइफलस अपन ह सरकर स भजप कय कर रह ह ऐस मग livehindustancomnational,0,08-09-2023,en,-0.128,negative
178,nuh clash wellcoordinate violence ahead poll satyapal malik country burn manipur contain former jk governor apparent reference modi govt ominous mthewireinarticlepolitic,8729,08-02-2023,en,-0.6808,negative
179,difference clear meiteis god chinkuki infamous ar illegal immigrant report daily basis manipur ar god kukis note ar responsible border security manipur simply,552,08-05-2023,en,0.7096,positive
180,manipurrestore peace manipur normalize livesit possibleevery citizen india work normalcy manipur,0,08-09-2023,en,0.5423,positive
181,bjp topple state govts year arunachal uttarakhand manipur meghalaya karnataka goa madhya pradesh puducherry maharashtra ncp mp,4,08-09-2023,id,0.0,neutral
182,सनए क full video pipedvideo,81,08-08-2023,it,0.0,neutral
183,manipur state police meitei militant patrol valley meitei gift arm partisan state security risk country,651,08-08-2023,ro,0.4939,positive
184,wish happy birthday champion saikhom mirabai chanu pride dedication strength continue inspire wish year fill accomplishment joy,26,08-08-2023,en,0.9779,positive
185,congress insult north east neglected region result formation large number militant organization present problem manipur result long congress misrule,291,08-08-2023,en,-0.8442,negative
186,watch press conference elaborate extensively cong betray north east particularly reference current situation manipur,798,08-08-2023,en,-0.6369,negative
187,confidence motion debate manipur awareness level average journalist,2360,08-08-2023,fr,0.5106,positive
188,humanity judiciary alive india haryana court accuse bjp government ethnic cleansing gujarat manipur haryana forget selfish political motivation indian value shatter outlookindiacomnationalet,23,08-08-2023,en,0.1531,neutral
189,sàhib ji afraid visit,14,08-08-2023,et,0.0,neutral
190,பஜக அரச பணகள அவமனபபடததயளளத சபரய சல,33,08-08-2023,ta,0.0,neutral
191,minor worried father dehraduni singer files complaint prashant bhushan spread fake news amid manipur unrest talk opindia opindiacom 202308fatherd,2047,08-08-2023,en,-0.7579,negative
193,dear supreme station masterwhat time train manipur,15436,08-07-2023,en,0.7351,positive
194,security force woman block peacekeeping operation take advantage law prevent male troop physical confrontation woman occupy bunker frontline rifle hand deccanheraldcomindiamanip,1,08-09-2023,en,0.6705,positive
195,notorious mock prime minister shri home minister shri proceed burn effigy incident report place imphal capital manipur,1213,08-06-2023,en,-0.6908,negative
196,pm abscond word continue challenge expose govt bjp fact inside parliament india jeetega bharat speech video courtesy,580,08-08-2023,en,0.296,neutral
197,shame put tag community fight british country,26,08-08-2023,en,-0.6908,negative
198,minor worried father dehraduni singer files complaint prashant bhushan spread fake news amid manipur unrest talk opindia opindiacom 202308fatherd,2048,08-08-2023,en,-0.7579,negative
199,vice president india rajya sabha chairman bjp leader manipur issue discuss parliament vp country upset word manipur floor,2982,08-08-2023,en,-0.3818,negative
201,cartoonish christian vs hindu narrative resolve manipur tragedy unfortunately christian group idea manipur violence antichristian issue face value critical analysis washingtonexaminercomopini,11,08-09-2023,en,-0.8481,negative
202,notrust debate opp ask manipur cm sack,1,08-09-2023,ro,0.0,neutral
203,today sea punjab protest violence,5480,08-06-2023,es,-0.7269,negative
204,modi answer question answer ask question adani answer ask question attack dalit woman answer manipur burn month modi silent repeatation,172,08-08-2023,en,-0.4767,negative
205,assam riffle personnel chronology samjhiye kuki militant kill meitei civilian home locate muslim dominate area manipur police move catch culprit assam riffle stop block armoured,540,08-08-2023,en,-0.8834,negative
206,accompany india focus profit discuss urgent human right issue ongoing antichristian massacre manipur impend genocide indian muslims modis regime,66,08-08-2023,en,0.5719,positive
207,talk fascist govt india restore account he s voice voiceless minority india target attack ashok swain speak kuki christians face ethnic cleansing manipur,74,08-08-2023,en,-0.6705,negative
208,gaurav gogoi pose question pm modi inaction manipur sansad tv begin list government scheme sector success ticker read india ayurvedic herbal medicine export newslaundrycom 8n,711,08-08-2023,en,0.4019,positive
209,ji difficult question fail double engine sarkar state hub lawlessness,209,08-08-2023,fr,-0.7184,negative
210,जस थल म खय उस म छद कय big reason month turmoil include grave violence imagine actual recede green surface area govt record acre illegal poppy,20,08-08-2023,en,-0.9153,negative
212,beauty manipur lie diversity unity force oppression violence tear,1093,08-08-2023,en,-0.0772,negative
213,rant moditard care happen mewat manipur,11,08-08-2023,en,0.2023,neutral
214,spear corps clarifie issue mistrust tactical level lodge police clarify,14,08-08-2023,en,0.0,neutral
215,manipuri muslims meitei pangal run life kwakta manipur offer start shoot civilian sophisticated weapon n bomb manipur state force retaliate 5th aug meitei civilian,53,08-08-2023,en,-0.4939,negative
216,vice president india rajya sabha chairman bjp leader manipur issue discuss parliament vp country upset word manipur floor,2983,08-08-2023,en,-0.3818,negative
217,speaker report fact figure indicate manipur skill include fact voice manipur problem failuar manipur violence unemployment growth export talk,1,08-09-2023,en,-0.7964,negative
218,strong voice manipur hear recently,0,08-09-2023,en,0.5106,positive
219,question pm modi pm modi visit manipur till date pm modi day speak manipur pm modi sack cm manipur till date,1136,08-08-2023,it,0.0,neutral
220,relief relief camp humanitarian crisis unfold manipur theweekinnewsindia r u lock urself block road visit camp u open gate u u fight community,0,08-09-2023,en,-0.5267,negative
221,congress focus manipur situation alliance partner raise statespecific issue indianexpresscomarticlepo,7,08-09-2023,it,0.0,neutral
222,meitei armed group forcefully turn masjid kwakta manipur fortify bunker police commando draw gunfight village pangal muslims muslim family leave village compound house yahya khan,197,08-08-2023,en,-0.0516,negative
223,funny part u anglokuki fook hear guy hold spear shout herethere u call anglokuki war yaiwrite ur historyis silly thing call halfbrain u breathing correct,0,08-09-2023,en,-0.2263,negative
224,pray punjab manipur,40,08-08-2023,id,0.3182,neutral
225,india party walk rajya sabha today rest day continued refusal modi government immediate discussion manipur basis mutually negotiate motion continue refusal leader,3349,08-08-2023,en,0.4019,positive
226,bjp manipur toe line promeitei narrative diligently perform duty wrongly implicate side cross buffer zone central sfs include ar,190,08-08-2023,en,0.0,neutral
228,gaurav gogoi pose question pm modi inaction manipur sansad tv begin list government scheme sector success ticker read india ayurvedic herbal medicine export newslaundrycom 8n,712,08-08-2023,en,0.4019,positive
229,day pm miss rule confidence motion finally drag pm lok sabha what s stop heartless government start discussion today aug let begin,842,08-08-2023,en,-0.5574,negative
231,himanta biswa sarma expose congress manipur wrong policy adopt congress party formative year today northeastern state resolve dispute exist region time we ve attain freedom,969,08-08-2023,en,0.5859,positive
232,operation jointly launch special team police exploit current situation manipur smuggle manipur add read,15,08-08-2023,en,-0.0772,negative
234,expect peace normalcy return manipur cm rs mp hand glove ultra nationalist arambai tenggol spearheading attack tribal kukis,1245,15-05-2023,en,0.5574,positive
